date	category	campaign_id	slice	value
2020-08-11	70	13	2	567
2020-03-31	70	41	5	314
2020-10-29	4	43	3	984
2020-11-02	59	45	6	500
2020-01-20	27	5	8	196
2020-05-27	55	25	7	394
2020-03-01	34	44	7	972
2020-04-19	14	40	6	771
2020-04-11	88	3	3	150
2020-12-07	44	1	3	306
2020-09-24	2	32	5	80
2020-02-18	61	7	10	67
2020-11-11	9	1	3	526
2020-11-12	47	3	5	570
2020-11-22	50	15	10	284
2020-09-23	75	37	4	167
2020-02-14	76	36	1	188
2020-11-16	75	8	1	797
2020-12-07	13	31	0	185
2020-04-22	63	13	1	261
2020-01-07	25	21	4	460
2020-10-13	74	45	3	876
2020-08-01	45	27	2	355
2020-08-27	77	4	3	205
2020-01-17	42	17	9	119
2020-05-25	66	40	0	376
2020-11-13	62	29	1	277
2020-10-22	17	13	4	429
2020-08-02	29	20	7	748
2020-08-29	23	15	9	254
2020-05-04	10	34	6	311
2020-01-03	90	41	9	97
2020-01-05	75	23	2	231
2020-09-02	55	38	4	279
2020-09-25	9	41	5	708
2020-11-14	6	28	6	540
2020-09-21	3	29	0	37
2020-08-02	83	48	5	446
2020-06-20	28	35	5	786
2020-12-21	100	22	7	559
2020-07-01	39	40	6	820
2020-08-27	79	24	2	453
2020-02-07	67	27	9	691
2020-08-08	15	21	8	559
2020-11-14	83	15	4	178
2020-04-03	17	24	7	774
2020-07-02	4	12	5	534
2020-03-20	73	12	9	199
2020-11-15	87	45	0	576
2020-06-26	69	18	2	930
2020-06-21	55	43	0	406
2020-01-12	89	11	5	25
2020-11-07	47	15	9	320
2020-12-20	34	40	5	851
2020-04-12	79	47	7	951
2020-08-23	99	34	5	499
2020-03-11	28	33	9	277
2020-04-28	54	21	2	804
2020-07-27	49	25	6	922
2020-11-28	95	41	0	398
2020-01-01	10	30	3	515
2020-07-11	9	36	0	887
2020-06-11	30	39	8	42
2020-02-02	93	16	3	271
2020-04-02	68	26	0	982
2020-10-23	22	42	5	381
2020-03-29	37	46	9	597
2020-04-04	64	27	6	521
2020-07-13	8	42	5	825
2020-08-09	49	39	0	899
2020-03-12	35	28	5	825
2020-10-02	12	8	0	715
2020-06-13	63	31	9	91
2020-08-26	74	13	3	513
2020-11-04	88	28	7	183
2020-10-12	14	28	3	454
2020-06-16	6	32	6	814
2020-02-24	58	45	7	815
2020-05-19	67	31	9	90
2020-04-17	40	8	5	185
2020-10-11	27	10	10	747
2020-06-11	16	5	4	660
2020-04-03	0	42	9	358
2020-03-02	27	45	7	179
2020-10-12	73	14	8	875
2020-07-01	64	35	3	595
2020-01-08	57	40	1	156
2020-05-07	26	40	8	577
2020-06-25	82	20	3	430
2020-03-06	29	38	4	258
2020-05-05	65	35	8	61
2020-11-30	61	22	8	509
2020-07-19	60	1	2	551
2020-10-26	32	32	8	167
2020-12-18	60	33	6	621
2020-02-15	37	31	9	663
2020-03-24	24	45	5	584
2020-03-15	15	45	5	247
2020-05-05	96	44	0	204
2020-10-27	69	45	8	835
2020-04-14	44	10	9	403
2020-12-03	49	5	4	869
2020-03-25	77	27	6	568
2020-04-06	31	20	6	207
2020-05-23	66	49	9	779
2020-12-09	25	25	6	59
2020-05-23	79	32	3	626
2020-11-16	11	27	3	682
2020-12-13	79	45	9	703
2020-06-07	83	40	4	408
2020-01-05	61	44	3	304
2020-10-11	96	4	8	852
2020-10-13	41	26	5	880
2020-03-20	24	13	8	514
2020-05-17	95	15	2	671
2020-09-17	39	15	5	352
2020-12-05	79	11	5	530
2020-05-04	64	14	10	782
2020-02-27	24	40	7	55
2020-07-10	82	41	5	439
2020-03-09	57	10	7	598
2020-09-27	50	29	0	384
2020-02-18	43	35	0	177
2020-05-05	6	42	2	585
2020-03-12	9	49	9	993
2020-06-29	33	16	8	322
2020-10-27	81	44	6	846
2020-07-12	28	1	8	730
2020-01-20	80	32	5	957
2020-02-07	4	26	4	141
2020-05-08	79	29	10	516
2020-01-04	28	43	6	967
2020-04-19	72	24	5	816
2020-10-18	92	31	4	673
2020-07-15	2	0	6	3
2020-11-11	92	11	10	735
2020-09-27	65	35	4	163
2020-11-02	18	12	3	912
2020-08-04	17	5	3	536
2020-01-11	93	50	9	62
2020-02-15	35	1	5	189
2020-08-22	91	7	8	260
2020-10-11	26	2	10	221
2020-10-30	93	1	3	191
2020-01-14	3	13	3	919
2020-02-19	10	9	7	154
2020-10-14	95	38	1	643
2020-05-16	90	1	4	753
2020-05-05	96	41	5	196
2020-12-16	31	48	9	923
2020-12-14	73	26	4	43
2020-01-19	98	1	4	868
2020-03-04	17	48	0	736
2020-11-13	50	34	4	687
2020-09-17	85	16	1	827
2020-08-19	68	47	6	794
2020-08-02	27	32	2	341
2020-09-22	87	47	8	898
2020-12-01	40	8	2	881
2020-10-30	95	29	2	144
2020-06-12	15	27	3	764
2020-11-27	92	42	5	537
2020-04-01	52	3	1	185
2020-09-10	37	29	6	4
2020-11-04	42	40	1	388
2020-04-11	80	42	0	572
2020-02-14	84	44	1	938
2020-07-28	71	39	2	980
2020-02-08	46	31	1	397
2020-04-09	58	15	2	679
2020-08-23	42	39	9	932
2020-02-28	25	33	8	111
2020-10-17	16	32	7	729
2020-01-30	71	20	6	446
2020-06-19	43	28	9	426
2020-02-05	46	42	4	558
2020-10-13	12	49	1	50
2020-11-18	81	37	5	834
2020-10-31	73	30	6	318
2020-10-14	88	17	4	884
2020-10-21	26	42	1	222
2020-09-22	65	16	5	430
2020-12-26	0	23	6	110
2020-03-17	25	16	6	341
2020-01-02	9	35	5	109
2020-04-26	62	49	2	29
2020-03-07	3	28	1	96
2020-05-01	80	32	1	24
2020-09-07	33	10	6	549
2020-12-31	48	47	1	794
2020-04-17	30	5	6	216
2020-11-15	31	4	2	192
2020-04-22	19	38	10	570
2020-01-30	55	31	5	83
2020-03-22	6	41	4	234
2020-08-03	46	20	5	354
2020-03-22	30	34	1	49
2020-08-15	24	36	1	490
2020-09-11	99	3	8	891
2020-08-24	71	27	6	122
2020-08-07	20	2	9	923
2020-10-30	41	26	9	469
2020-01-08	22	39	9	377
2020-10-16	48	1	7	664
2020-06-02	12	6	9	56
2020-02-04	15	20	7	745
2020-11-19	18	7	6	21
2020-07-17	33	6	4	978
2020-01-16	38	45	10	370
2020-05-11	31	30	4	702
2020-04-27	85	23	9	667
2020-02-19	89	45	5	685
2020-05-12	73	48	7	793
2020-02-02	91	0	5	603
2020-06-07	19	27	3	459
2020-03-20	63	19	1	765
2020-03-11	96	45	2	222
2020-06-03	74	10	7	617
2020-12-01	69	6	1	272
2020-06-17	31	32	8	214
2020-07-23	28	14	0	713
2020-09-15	97	33	6	840
2020-03-18	44	29	1	825
2020-11-19	19	24	5	116
2020-02-05	40	23	7	412
2020-09-22	87	42	4	722
2020-10-13	91	29	9	350
2020-07-23	76	16	7	699
2020-06-15	36	23	6	53
2020-11-19	6	32	4	192
2020-04-29	4	46	3	718
2020-08-25	73	1	8	840
2020-07-13	13	40	4	637
2020-12-27	97	20	4	565
2020-11-12	97	3	0	672
2020-07-25	55	37	4	672
2020-02-24	54	42	1	331
2020-09-29	85	14	3	333
2020-09-28	66	34	7	198
2020-06-11	2	48	4	354
2020-07-14	14	40	7	38
2020-06-10	34	10	2	399
2020-02-14	29	29	3	883
2020-07-24	77	20	2	26
2020-08-23	73	37	5	671
2020-01-02	72	49	8	880
2020-02-07	83	9	8	165
2020-12-24	25	16	7	852
2020-03-13	85	25	2	614
2020-01-10	55	8	3	763
2020-02-06	60	48	4	275
2020-07-04	44	38	1	485
2020-12-25	22	41	5	738
2020-12-24	46	9	8	438
2020-05-14	48	36	6	42
2020-08-23	64	36	6	49
2020-09-20	3	26	9	232
2020-07-09	97	23	4	734
2020-02-21	65	11	8	927
2020-09-27	88	47	9	590
2020-09-05	74	28	3	132
2020-12-21	84	23	0	122
2020-08-28	23	20	1	579
2020-04-17	74	40	2	180
2020-11-04	89	21	9	437
2020-01-24	17	21	9	820
2020-05-21	86	40	3	725
2020-01-23	30	3	1	798
2020-10-28	95	39	1	395
2020-10-16	26	45	4	82
2020-03-01	96	38	6	666
2020-05-31	27	10	9	402
2020-08-26	30	20	10	525
2020-04-23	59	20	5	141
2020-02-21	77	40	3	109
2020-01-24	86	40	4	467
2020-03-17	32	7	6	461
2020-06-11	66	48	0	179
2020-02-02	92	38	8	284
2020-07-24	91	34	1	747
2020-08-19	34	37	6	540
2020-01-13	42	47	4	483
2020-12-20	89	1	5	810
2020-06-15	74	7	10	807
2020-11-18	2	42	2	419
2020-08-08	84	41	3	227
2020-01-23	23	7	7	446
2020-06-29	52	42	5	98
2020-11-03	73	36	6	978
2020-01-18	58	24	4	520
2020-01-21	87	13	5	70
2020-02-12	77	37	9	934
2020-11-26	53	17	4	913
2020-09-26	71	10	7	640
2020-11-12	49	13	7	507
2020-10-07	10	19	8	526
2020-12-17	56	43	2	803
2020-04-21	46	27	9	331
2020-05-16	77	48	1	571
2020-12-16	47	41	9	259
2020-08-17	73	7	8	712
2020-02-20	5	16	3	962
2020-03-15	90	35	6	624
2020-08-29	59	11	2	630
2020-08-12	81	33	1	902
2020-02-27	20	16	4	576
2020-06-06	99	13	7	707
2020-03-12	4	3	10	261
2020-08-02	6	7	8	199
2020-01-24	14	48	5	56
2020-12-06	70	3	3	666
2020-10-20	52	1	2	87
2020-02-26	12	10	4	428
2020-09-08	83	44	2	651
2020-12-20	37	37	1	612
2020-11-16	57	27	4	921
2020-12-24	49	13	3	241
2020-11-20	96	45	8	476
2020-03-03	7	12	4	16
2020-03-04	15	2	8	519
2020-06-30	16	43	6	518
2020-06-05	40	27	1	663
2020-07-16	35	46	5	530
2020-01-05	10	39	1	471
2020-10-06	83	10	4	768
2020-03-11	58	9	1	487
2020-11-18	24	23	6	501
2020-12-27	89	25	0	302
2020-05-29	44	45	6	331
2020-06-27	57	31	5	713
2020-02-25	52	46	8	631
2020-12-31	98	32	8	259
2020-09-05	86	4	6	900
2020-05-21	17	30	9	121
2020-12-30	34	35	4	4
2020-03-04	23	36	4	425
2020-05-29	23	32	10	281
2020-09-17	79	36	3	462
2020-08-18	52	47	4	404
2020-06-10	62	7	6	617
2020-02-28	61	36	2	831
2020-07-28	71	24	2	998
2020-06-26	8	28	10	476
2020-09-25	60	47	5	833
2020-06-02	62	26	4	142
2020-12-09	93	9	6	253
2020-01-28	94	21	1	441
2020-12-21	33	48	6	425
2020-06-04	80	5	0	260
2020-08-27	43	26	3	895
2020-03-01	68	31	5	144
2020-09-24	41	18	1	139
2020-03-26	23	40	7	864
2020-10-05	84	9	4	986
2020-07-08	73	23	5	556
2020-06-12	8	10	5	560
2020-08-03	80	14	4	726
2020-11-11	49	7	5	39
2020-08-01	34	46	1	490
2020-10-27	100	35	7	846
2020-08-15	87	49	4	282
2020-09-05	66	46	4	738
2020-09-27	86	35	8	768
2020-01-05	33	35	2	707
2020-07-05	5	2	4	370
2020-09-22	21	41	4	628
2020-12-26	54	18	8	681
2020-02-21	40	12	7	410
2020-02-22	99	14	5	57
2020-11-12	96	27	7	185
2020-09-30	34	26	10	368
2020-06-23	7	29	8	760
2020-08-25	60	26	5	248
2020-01-05	27	4	2	652
2020-01-03	65	34	10	886
2020-02-05	1	47	6	888
2020-09-11	42	18	4	152
2020-11-14	54	46	4	622
2020-04-28	40	14	2	466
2020-11-18	70	1	9	371
2020-01-13	26	48	7	442
2020-06-27	34	12	6	817
2020-06-13	45	46	7	701
2020-08-05	49	15	9	627
2020-01-30	93	43	1	286
2020-03-02	42	28	5	556
2020-07-30	39	1	1	581
2020-03-13	21	47	9	470
2020-01-11	46	6	1	727
2020-07-14	23	37	3	950
2020-10-29	62	47	4	875
2020-10-10	66	15	8	190
2020-11-18	81	43	6	201
2020-08-09	92	34	6	38
2020-03-12	93	11	2	116
2020-06-10	27	50	3	908
2020-03-30	92	1	5	108
2020-02-18	25	34	5	473
2020-11-17	60	49	5	731
2020-03-20	42	45	5	647
2020-03-22	91	9	7	259
2020-06-10	42	4	1	491
2020-04-25	15	15	1	523
2020-05-03	56	11	5	743
2020-03-14	34	7	5	68
2020-07-16	42	36	7	349
2020-01-09	90	30	4	48
2020-02-27	19	19	1	314
2020-04-28	13	41	1	156
2020-12-14	66	50	2	143
2020-02-05	1	23	5	888
2020-08-16	26	4	5	94
2020-03-24	31	29	3	492
2020-07-04	4	19	1	255
2020-06-11	3	1	3	571
2020-01-26	99	13	5	152
2020-09-13	65	5	3	831
2020-01-20	92	2	9	809
2020-06-18	93	30	0	419
2020-12-09	67	19	6	169
2020-11-25	7	0	1	545
2020-02-09	61	36	5	303
2020-12-04	48	32	4	244
2020-07-09	71	28	0	851
2020-07-08	63	4	9	694
2020-12-12	2	30	5	603
2020-04-10	2	7	8	107
2020-05-04	34	13	1	394
2020-09-06	17	35	4	930
2020-01-19	99	12	10	448
2020-05-08	45	23	8	522
2020-05-16	9	12	1	643
2020-12-21	56	2	8	965
2020-08-18	29	5	3	670
2020-02-06	5	30	0	658
2020-08-17	25	42	6	266
2020-07-29	89	27	4	382
2020-05-17	79	4	9	57
2020-04-17	5	42	7	113
2020-07-05	39	6	3	543
2020-03-21	24	43	2	12
2020-07-27	35	19	1	444
2020-09-19	64	42	7	540
2020-10-12	11	8	2	826
2020-01-21	25	11	2	207
2020-04-01	49	43	4	862
2020-03-13	13	3	8	573
2020-10-10	39	42	1	571
2020-04-02	93	30	7	347
2020-08-23	87	39	2	135
2020-01-04	55	33	5	381
2020-12-14	87	42	10	836
2020-06-10	72	47	1	185
2020-05-07	26	29	0	721
2020-10-30	7	21	10	573
2020-05-12	36	6	9	1
2020-07-04	35	44	2	41
2020-08-10	86	23	8	541
2020-11-08	95	27	9	361
2020-04-11	16	4	9	818
2020-11-11	16	5	10	110
2020-06-26	61	21	4	846
2020-05-24	57	28	6	198
2020-03-30	66	1	2	71
2020-08-05	59	31	7	878
2020-05-23	76	46	9	849
2020-02-06	86	39	4	915
2020-06-17	99	38	4	33
2020-12-12	43	36	9	400
2020-04-18	93	20	0	200
2020-07-14	30	2	6	299
2020-11-18	64	7	7	486
2020-01-10	99	46	10	307
2020-08-22	23	43	5	107
2020-09-28	84	42	9	123
2020-12-14	23	29	8	710
2020-01-22	95	38	8	975
2020-01-18	4	38	9	890
2020-10-02	15	1	9	989
2020-11-06	19	3	6	213
2020-01-15	21	3	4	520
2020-09-13	4	17	4	738
2020-09-11	44	26	0	441
2020-07-11	29	32	5	448
2020-04-08	86	42	2	707
2020-04-04	38	11	8	102
2020-10-09	45	7	5	294
2020-08-17	72	18	6	29
2020-12-22	2	13	7	845
2020-09-19	60	40	7	252
2020-03-17	63	29	6	307
2020-02-25	82	2	5	507
2020-02-15	37	23	1	628
2020-02-01	34	0	9	694
2020-09-01	71	24	2	303
2020-11-11	5	27	5	227
2020-01-10	17	9	2	296
2020-07-16	86	4	3	889
2020-10-07	65	47	7	631
2020-04-25	44	42	8	16
2020-09-14	84	23	7	504
2020-12-04	94	3	7	696
2020-03-22	16	45	5	819
2020-05-14	34	27	6	388
2020-04-29	31	31	3	405
2020-01-05	16	42	9	635
2020-09-21	82	17	2	727
2020-03-21	57	45	10	509
2020-05-20	73	16	2	630
2020-09-10	1	40	9	308
2020-11-03	74	12	2	436
2020-05-10	26	43	10	447
2020-05-31	0	24	4	13
2020-08-17	33	27	2	577
2020-08-21	27	21	3	704
2020-02-24	68	46	2	689
2020-06-30	4	3	1	751
2020-04-15	73	9	1	457
2020-01-16	56	19	9	31
2020-02-28	66	39	8	424
2020-01-28	92	4	8	25
2020-12-29	15	41	3	715
2020-02-01	91	45	2	922
2020-03-22	1	20	5	948
2020-08-04	67	35	10	875
2020-08-01	68	45	8	256
2020-01-11	85	33	1	652
2020-05-23	20	10	3	890
2020-09-30	20	1	8	851
2020-08-21	65	3	3	383
2020-02-22	11	9	8	216
2020-11-29	15	18	10	480
2020-09-06	14	13	8	873
2020-10-09	49	28	3	62
2020-05-19	57	20	2	224
2020-01-24	81	29	1	125
2020-05-09	30	5	4	429
2020-11-28	14	16	2	969
2020-05-14	22	42	8	575
2020-06-30	57	38	1	70
2020-11-24	69	29	9	257
2020-06-28	73	19	2	286
2020-02-01	67	12	4	276
2020-10-29	56	19	4	194
2020-04-16	92	8	0	460
2020-10-20	2	9	6	282
2020-08-13	85	13	9	482
2020-03-23	98	44	6	594
2020-01-31	55	23	1	294
2020-01-06	99	13	0	708
2020-03-30	40	48	2	424
2020-08-14	7	48	0	898
2020-07-29	91	31	5	738
2020-01-02	2	39	4	84
2020-08-06	10	24	8	899
2020-09-04	47	14	10	235
2020-03-10	70	36	7	755
2020-03-31	25	11	9	987
2020-07-18	58	21	6	592
2020-11-06	36	25	6	168
2020-06-10	53	17	10	716
2020-08-03	36	16	5	938
2020-01-26	57	14	4	512
2020-01-27	47	43	3	379
2020-09-02	43	9	7	61
2020-08-31	76	12	6	316
2020-01-11	22	30	9	116
2020-12-14	46	7	6	682
2020-04-21	28	44	7	743
2020-01-31	52	25	8	699
2020-10-22	30	35	4	557
2020-07-24	47	24	3	456
2020-05-14	55	25	3	449
2020-06-15	99	8	10	125
2020-07-22	97	24	10	600
2020-01-05	82	35	9	890
2020-03-26	3	29	2	345
2020-02-27	64	20	2	49
2020-11-05	7	17	7	375
2020-10-19	3	20	6	387
2020-06-06	86	10	1	927
2020-09-02	59	38	8	189
2020-10-06	10	5	7	60
2020-06-30	67	15	9	462
2020-02-04	30	3	4	673
2020-04-17	98	48	3	96
2020-09-17	58	6	8	460
2020-11-11	77	40	10	860
2020-06-07	13	27	9	142
2020-02-18	32	33	2	207
2020-03-04	16	43	4	471
2020-05-31	33	36	1	578
2020-09-14	49	36	2	287
2020-05-07	9	35	7	340
2020-10-25	30	18	5	995
2020-07-15	95	22	2	756
2020-08-15	26	29	1	12
2020-10-08	25	21	1	279
2020-03-10	42	19	4	389
2020-09-23	95	42	4	6
2020-02-21	5	8	1	308
2020-12-16	14	34	5	952
2020-06-07	66	6	6	33
2020-12-30	36	5	3	875
2020-06-22	90	45	1	715
2020-11-11	48	19	5	962
2020-11-16	74	23	8	394
2020-03-27	80	1	0	560
2020-01-04	67	26	3	368
2020-08-29	84	8	9	34
2020-09-27	45	31	3	215
2020-09-09	27	13	4	689
2020-09-02	25	32	1	367
2020-08-28	17	3	4	204
2020-05-26	57	13	4	976
2020-02-07	93	3	3	875
2020-10-07	45	14	9	306
2020-09-03	34	6	4	29
2020-07-11	43	44	3	605
2020-10-05	72	10	8	278
2020-10-03	78	36	0	374
2020-12-04	9	21	8	997
2020-04-30	86	17	8	123
2020-04-04	77	0	2	359
2020-10-25	42	7	7	63
2020-04-07	4	20	4	355
2020-12-27	10	47	5	843
2020-12-04	38	39	0	295
2020-08-19	53	15	2	875
2020-04-28	56	40	6	872
2020-01-02	17	25	4	309
2020-07-29	46	24	4	219
2020-10-19	68	4	9	640
2020-08-25	22	16	1	135
2020-09-27	93	31	6	641
2020-09-11	32	12	6	410
2020-12-31	70	44	4	629
2020-06-08	18	6	6	799
2020-09-15	96	15	1	31
2020-08-22	77	21	3	587
2020-09-12	56	15	6	511
2020-09-05	66	25	9	694
2020-06-21	82	3	2	525
2020-10-07	21	46	8	416
2020-03-15	43	3	9	140
2020-01-18	5	46	8	689
2020-12-19	77	14	9	672
2020-06-11	42	24	2	699
2020-07-31	85	28	5	187
2020-07-12	22	29	4	739
2020-03-25	99	24	2	146
2020-05-23	44	27	0	481
2020-04-28	85	25	9	296
2020-09-28	73	46	7	4
2020-03-06	67	34	2	547
2020-06-17	79	3	6	267
2020-04-23	25	26	0	423
2020-12-09	28	20	8	561
2020-09-22	26	22	2	846
2020-07-19	87	5	7	819
2020-05-06	92	9	1	572
2020-08-16	1	14	3	725
2020-04-27	90	37	6	877
2020-12-16	44	45	10	583
2020-02-18	41	27	5	651
2020-02-03	35	15	10	144
2020-07-28	76	23	3	973
2020-06-02	11	27	6	606
2020-01-26	38	18	8	841
2020-08-17	45	40	3	689
2020-05-27	34	47	1	610
2020-04-28	90	3	5	354
2020-01-12	41	1	7	874
2020-05-05	91	4	2	555
2020-10-08	48	38	4	79
2020-02-03	66	31	8	948
2020-03-02	62	41	2	566
2020-06-03	46	42	5	187
2020-07-30	40	10	9	90
2020-02-25	59	13	2	517
2020-06-12	52	6	0	188
2020-02-03	17	21	9	492
2020-09-29	32	42	9	503
2020-02-21	52	10	1	594
2020-12-16	2	19	6	842
2020-10-26	85	6	8	962
2020-07-23	38	17	4	996
2020-03-31	55	50	6	569
2020-11-29	21	3	5	205
2020-02-20	68	43	7	960
2020-01-21	88	36	1	752
2020-06-12	98	33	8	719
2020-01-24	93	49	8	723
2020-11-10	74	21	5	469
2020-06-07	2	20	10	575
2020-08-05	7	1	5	614
2020-03-25	62	16	3	737
2020-10-28	29	21	8	499
2020-09-07	86	20	2	770
2020-03-08	13	41	2	248
2020-12-30	28	25	7	890
2020-12-15	52	44	4	488
2020-04-03	17	34	6	776
2020-09-24	99	16	4	796
2020-01-02	84	46	8	611
2020-05-10	49	47	2	434
2020-10-10	31	26	5	287
2020-09-26	94	41	4	992
2020-06-05	69	8	2	953
2020-10-10	65	20	5	278
2020-05-01	52	39	9	4
2020-02-16	47	36	6	714
2020-05-05	32	14	8	218
2020-06-02	69	45	2	916
2020-09-21	85	38	9	597
2020-04-24	83	28	6	232
2020-06-29	47	41	7	258
2020-03-29	71	8	9	370
2020-11-11	60	11	7	625
2020-04-02	70	23	8	157
2020-04-09	81	43	5	396
2020-09-02	41	32	4	223
2020-02-14	69	38	5	848
2020-09-23	96	6	1	205
2020-12-04	12	40	8	52
2020-05-15	22	46	6	984
2020-08-28	17	37	6	752
2020-06-09	3	29	9	244
2020-02-27	6	5	6	929
2020-01-09	48	24	3	519
2020-08-14	24	14	7	120
2020-11-12	37	12	9	967
2020-12-28	86	44	8	335
2020-03-01	81	50	7	573
2020-03-14	95	34	0	495
2020-04-14	87	48	1	380
2020-09-11	40	43	7	769
2020-10-01	6	39	0	262
2020-07-24	45	7	2	899
2020-11-30	11	9	6	317
2020-10-17	93	23	2	535
2020-02-12	62	44	1	712
